year,women_age,men_age,family_type,area,girls_job,boys_job,marry_condition,women_status,mohor
2013.0,18.0,25.0,higher Middle class,Satkhira ,day Labour,Service holder,arrange Marriage,Single,231000.0
2015.0,23.0,35.0,rich class,Jhenaidah ,day Labour,Service holder,arrange Marriage,Single,405000.0
2015.0,17.0,28.0,Lower class,Magura ,day Labour,driver,arrange Marriage,Single,62400.0
2014.0,18.0,31.0,higher class,Jhenaidah ,day Labour,Farmer,Irrelevant Marriage,Single,268800.0
2016.0,21.0,26.0,rich class,Khulna ,businessman,Service holder,Forced Marriage,Single,382500.0
2014.0,17.0,29.0,rich class,Magura ,businessman,businessman,Forced Marriage,Single,400500.0
2015.0,21.0,39.0,rich class,Magura ,businessman,Service holder,Irrelevant Marriage,Single,427500.0
2017.0,22.0,30.0,rich class,bagerhat ,businessman,businessman,Forced Marriage,Single,432000.0
2017.0,24.0,36.0,Lower class,Magura ,businessman,driver,arrange Marriage,Single,72000.0
2013.0,21.0,33.0,rich class,bagerhat ,businessman,businessman,arrange Marriage,Single,423000.0
2014.0,20.0,32.0,Lower class,Khulna ,Entrepreneur,businessman,Forced Marriage,Single,60000.0
2015.0,22.0,28.0,rich class,Magura ,businessman,Entrepreneur,arrange Marriage,Single,423000.0
2017.0,21.0,29.0,rich class,Kushtia ,Service holder,Service holder,arrange Marriage,Single,418500.0
2015.0,20.0,40.0,higher class,Jashore ,Service holder,businessman,Irrelevant Marriage,Single,239400.0
2014.0,20.0,32.0,higher Middle class,chuadanga ,Entrepreneur,Entrepreneur,arrange Marriage,Single,231000.0
2016.0,23.0,29.0,Proverty Level,bagerhat ,Service holder,businessman,arrange Marriage,Single,48000.0
2013.0,20.0,37.0,rich class,Meherpur ,Service holder,Service holder,Irrelevant Marriage,Single,409500.0
2015.0,22.0,25.0,higher class,Narail ,Service holder,businessman,Love Marriage,Single,231000.0
2016.0,16.0,31.0,rich class,Jashore ,businessman,Entrepreneur,Irrelevant Marriage,Single,382500.0
2017.0,22.0,35.0,rich class,bagerhat ,businessman,Service holder,Irrelevant Marriage,Single,418500.0
2013.0,22.0,41.0,Lower class,Jashore ,Entrepreneur,businessman,Irrelevant Marriage,Single,72000.0
2015.0,21.0,32.0,Lower class,Magura ,Entrepreneur,Service holder,arrange Marriage,Single,60000.0
2013.0,22.0,33.0,higher class,Kushtia ,businessman,businessman,arrange Marriage,Single,210000.0
2015.0,19.0,32.0,Lower class,Jhenaidah ,Service holder,Entrepreneur,Irrelevant Marriage,Single,69600.0
2016.0,18.0,31.0,Lower class,Satkhira ,Entrepreneur,Service holder,Irrelevant Marriage,Single,60000.0
2017.0,18.0,31.0,rich class,Jashore ,Service holder,Entrepreneur,Irrelevant Marriage,Single,445500.0
2014.0,16.0,25.0,rich class,bagerhat ,Service holder,businessman,Forced Marriage,Single,382500.0
2013.0,18.0,38.0,rich class,Jashore ,Service holder,Service holder,Irrelevant Marriage,Single,405000.0
2017.0,22.0,30.0,higher class,chuadanga ,Service holder,Entrepreneur,arrange Marriage,Single,243600.0
2017.0,19.0,27.0,higher Middle class,Magura ,businessman,businessman,Forced Marriage,Single,243600.0
2014.0,18.0,39.0,rich class,bagerhat ,businessman,Entrepreneur,Irrelevant Marriage,Single,441000.0
2014.0,20.0,32.0,Lower Middle class,Khulna ,Service holder,Service holder,Forced Marriage,Single,136900.0
2015.0,23.0,41.0,rich class,Kushtia ,Entrepreneur,Service holder,Irrelevant Marriage,Single,382500.0
2017.0,23.0,29.0,higher class,bagerhat ,Service holder,businessman,arrange Marriage,Single,243600.0
2014.0,18.0,31.0,higher class,bagerhat ,Entrepreneur,businessman,Irrelevant Marriage,Single,264600.0
2015.0,17.0,31.0,rich class,Khulna ,Entrepreneur,Entrepreneur,Irrelevant Marriage,Single,369000.0
2016.0,21.0,30.0,rich class,Jashore ,Entrepreneur,Entrepreneur,arrange Marriage,Single,405000.0
2017.0,23.0,37.0,rich class,Narail ,Entrepreneur,businessman,Irrelevant Marriage,Single,414000.0
2015.0,23.0,36.0,rich class,chuadanga ,businessman,Entrepreneur,Irrelevant Marriage,Single,364500.0
2015.0,25.0,40.0,rich class,Jhenaidah ,businessman,Entrepreneur,Irrelevant Marriage,Widow,400500.0
2014.0,21.0,32.0,higher class,Jashore ,Service holder,Entrepreneur,Forced Marriage,Single,285600.0
2014.0,22.0,31.0,rich class,Satkhira ,Entrepreneur,Service holder,Forced Marriage,Single,396000.0
2017.0,21.0,36.0,higher class,Magura ,Service holder,Service holder,Irrelevant Marriage,Single,281400.0
2017.0,20.0,30.0,rich class,Jashore ,Entrepreneur,Service holder,arrange Marriage,Single,360000.0
2016.0,20.0,38.0,higher class,Meherpur ,businessman,Service holder,Irrelevant Marriage,Single,218400.0
2016.0,23.0,30.0,rich class,bagerhat ,Service holder,Service holder,Forced Marriage,Single,373500.0
2013.0,21.0,28.0,rich class,chuadanga ,Entrepreneur,Entrepreneur,arrange Marriage,Single,396000.0
2017.0,22.0,31.0,rich class,bagerhat ,Service holder,Service holder,arrange Marriage,Single,409500.0
2017.0,19.0,32.0,Lower Middle class,Magura ,businessman,Entrepreneur,Irrelevant Marriage,Single,155400.0
2017.0,16.0,30.0,higher Middle class,Magura ,Entrepreneur,Service holder,Irrelevant Marriage,Single,243600.0
2014.0,18.0,37.0,rich class,Jhenaidah ,Entrepreneur,Entrepreneur,Irrelevant Marriage,Single,441000.0
2015.0,18.0,30.0,higher class,Satkhira ,Service holder,businessman,arrange Marriage,Single,243600.0
2016.0,22.0,42.0,higher class,Satkhira ,Service holder,Entrepreneur,Irrelevant Marriage,Single,235200.0
2017.0,22.0,33.0,higher class,bagerhat ,businessman,Entrepreneur,arrange Marriage,Single,285600.0
2013.0,19.0,41.0,rich class,Jashore ,Entrepreneur,Entrepreneur,Irrelevant Marriage,Single,391500.0
2013.0,19.0,32.0,Lower class,Jhenaidah ,Service holder,Entrepreneur,Irrelevant Marriage,Single,64800.0
2016.0,18.0,30.0,higher class,Kushtia ,Service holder,Service holder,arrange Marriage,Single,222600.0
2013.0,20.0,42.0,higher class,Meherpur ,Service holder,businessman,Irrelevant Marriage,Single,226800.0
2016.0,22.0,31.0,Proverty Level,Meherpur ,Service holder,Service holder,Forced Marriage,Single,44000.0
2016.0,22.0,38.0,higher Middle class,Kushtia ,Entrepreneur,Service holder,Irrelevant Marriage,Single,222600.0
2015.0,18.0,30.0,higher class,Jashore ,Service holder,Entrepreneur,arrange Marriage,Single,235200.0
2014.0,18.0,31.0,Lower Middle class,Magura ,Entrepreneur,Entrepreneur,Irrelevant Marriage,Single,162800.0
2014.0,21.0,36.0,rich class,Khulna ,Entrepreneur,Service holder,Irrelevant Marriage,Single,378000.0
2015.0,22.0,32.0,rich class,Satkhira ,businessman,businessman,Forced Marriage,Single,441000.0
2016.0,24.0,31.0,higher class,Meherpur ,Entrepreneur,businessman,Forced Marriage,Single,268800.0
2017.0,18.0,26.0,rich class,chuadanga ,Entrepreneur,businessman,Forced Marriage,Single,441000.0
2013.0,23.0,34.0,rich class,Kushtia ,Entrepreneur,Entrepreneur,Forced Marriage,Single,405000.0
2017.0,16.0,30.0,rich class,Satkhira ,businessman,Entrepreneur,Irrelevant Marriage,Single,360000.0
2014.0,22.0,30.0,rich class,bagerhat ,businessman,businessman,arrange Marriage,Single,387000.0
2014.0,19.0,26.0,higher class,Narail ,Entrepreneur,Entrepreneur,Forced Marriage,Single,210000.0
2017.0,19.0,25.0,Lower class,Kushtia ,businessman,Service holder,arrange Marriage,Single,69600.0
2014.0,23.0,29.0,higher class,Satkhira ,Service holder,Service holder,Forced Marriage,Single,264600.0
2018.0,16.0,31.0,Lower class,Jhenaidah ,Lower Worker,Farmer,Irrelevant Marriage,Single,159600.0
2018.0,18.0,28.0,Proverty Level,Khulna ,Lower Worker,Garments Worker,Forced Marriage,Single,115200.0
2017.0,23.0,26.0,higher class,bagerhat ,businessman,businessman,Love Marriage,Single,630000.0
2018.0,22.0,32.0,higher class,bagerhat ,businessman,Farmer,arrange Marriage,Single,510000.0
2017.0,22.0,35.0,rich class,Satkhira ,businessman,businessman,Irrelevant Marriage,Single,972000.0
2018.0,21.0,34.0,Lower Middle class,Jashore ,Low Service holder,Farmer,Irrelevant Marriage,Single,280000.0
2018.0,18.0,29.0,higher Middle class,Khulna ,businessman,businessman,arrange Marriage,Single,660000.0
2017.0,21.0,32.0,rich class,Jhenaidah ,businessman,businessman,Forced Marriage,Single,1164000.0
2018.0,23.0,30.0,higher class,Jhenaidah ,Low Service holder,Farmer,arrange Marriage,Single,530000.0
2017.0,25.0,42.0,higher Middle class,Khulna ,businessman,Service holder,Irrelevant Marriage,Widow,520000.0
2018.0,18.0,27.0,higher Middle class,chuadanga ,Garments Worker,Farmer,Forced Marriage,Single,550000.0
2018.0,21.0,27.0,rich class,bagerhat ,businessman,Service holder,Forced Marriage,Single,1068000.0
2018.0,23.0,30.0,higher class,Khulna ,businessman,businessman,Forced Marriage,Single,610000.0
2018.0,19.0,39.0,Lower class,Kushtia ,day Labour,day Labour,Irrelevant Marriage,Single,153900.0
2017.0,25.0,39.0,higher class,Kushtia ,day Labour,Service holder,Irrelevant Marriage,divorced,660000.0
2018.0,25.0,38.0,rich class,bagerhat ,businessman,businessman,Irrelevant Marriage,divorced,1032000.0
2017.0,25.0,34.0,rich class,Satkhira ,businessman,Service holder,arrange Marriage,divorced,1188000.0
2017.0,22.0,39.0,Lower Middle class,Kushtia ,Lower Worker,Service holder,Irrelevant Marriage,Single,352000.0
2017.0,22.0,42.0,rich class,Jashore ,businessman,businessman,Irrelevant Marriage,Single,1188000.0
2018.0,16.0,28.0,higher class,Magura ,businessman,Farmer,Forced Marriage,Single,680000.0
2018.0,25.0,31.0,rich class,Satkhira ,businessman,businessman,Forced Marriage,divorced,1092000.0
2017.0,18.0,32.0,higher Middle class,chuadanga ,businessman,Service holder,Irrelevant Marriage,Single,630000.0
2018.0,18.0,33.0,higher Middle class,bagerhat ,day Labour,Farmer,Irrelevant Marriage,Single,660000.0
2017.0,23.0,31.0,Lower Middle class,chuadanga ,day Labour,businessman,arrange Marriage,Single,328000.0
2017.0,19.0,38.0,higher class,Satkhira ,Lower Worker,Service holder,Irrelevant Marriage,Single,530000.0
2018.0,23.0,32.0,rich class,Magura ,businessman,businessman,Forced Marriage,Single,1140000.0
2018.0,22.0,32.0,Lower Middle class,Jhenaidah ,Lower Service holder,Service holder,arrange Marriage,Single,344000.0
2017.0,23.0,41.0,higher class,bagerhat ,businessman,businessman,Irrelevant Marriage,Single,690000.0
2018.0,23.0,26.0,rich class,Jashore ,businessman,businessman,Love Marriage,Single,1092000.0
2017.0,24.0,42.0,higher class,Jashore ,businessman,businessman,Irrelevant Marriage,Single,610000.0
2018.0,24.0,37.0,rich class,Kushtia ,businessman,Service holder,Irrelevant Marriage,Single,1056000.0
2018.0,17.0,31.0,higher class,Satkhira ,day Labour,Farmer,Irrelevant Marriage,Single,660000.0
2018.0,23.0,41.0,rich class,Satkhira ,businessman,Service holder,Irrelevant Marriage,Single,1032000.0
2018.0,22.0,25.0,higher class,Satkhira ,Garments Worker,Service holder,Love Marriage,Single,620000.0
2017.0,25.0,37.0,higher Middle class,chuadanga ,businessman,businessman,arrange Marriage,divorced,650000.0
2017.0,23.0,38.0,higher class,Jhenaidah ,Lower Service holder,Service holder,Irrelevant Marriage,Single,620000.0
2018.0,20.0,30.0,higher Middle class,Meherpur ,businessman,Farmer,Forced Marriage,Single,620000.0
2018.0,18.0,31.0,rich class,Jashore ,businessman,businessman,Irrelevant Marriage,Single,1152000.0
2017.0,22.0,38.0,rich class,Narail ,businessman,businessman,Irrelevant Marriage,Single,1080000.0
2018.0,22.0,32.0,higher class,Meherpur ,businessman,businessman,arrange Marriage,Single,550000.0
2017.0,16.0,26.0,higher class,Khulna ,businessman,Service holder,Forced Marriage,Single,570000.0
2017.0,21.0,37.0,rich class,Narail ,businessman,Service holder,Irrelevant Marriage,Single,996000.0
2018.0,19.0,39.0,higher class,Magura ,Lower Service holder,Farmer,Irrelevant Marriage,Single,650000.0
2018.0,18.0,37.0,rich class,Jhenaidah ,Low Service holder,Service holder,Irrelevant Marriage,Single,1056000.0
2017.0,18.0,32.0,higher class,Khulna ,businessman,Service holder,Irrelevant Marriage,Single,680000.0
2017.0,18.0,40.0,rich class,chuadanga ,Entrepreneur,businessman,Irrelevant Marriage,Single,1425000.0
2018.0,20.0,28.0,Lower class,Narail ,Entrepreneur,Service holder,arrange Marriage,Single,180000.0
2017.0,19.0,27.0,Lower class,Kushtia ,Service holder,businessman,arrange Marriage,Single,180000.0
2017.0,23.0,30.0,higher Middle class,bagerhat ,Entrepreneur,Service holder,arrange Marriage,Single,672000.0
2018.0,20.0,31.0,Proverty Level,Khulna ,Entrepreneur,Entrepreneur,arrange Marriage,Single,115000.0
2018.0,18.0,29.0,rich class,Jhenaidah ,Entrepreneur,Service holder,Forced Marriage,Single,1305000.0
2018.0,18.0,33.0,Lower class,Khulna ,Entrepreneur,Entrepreneur,Irrelevant Marriage,Single,156000.0
2017.0,21.0,40.0,Lower class,bagerhat ,Entrepreneur,Service holder,Irrelevant Marriage,Single,162000.0
2017.0,18.0,30.0,Proverty Level,Meherpur ,businessman,Entrepreneur,arrange Marriage,Single,100000.0
2018.0,20.0,25.0,Lower class,Meherpur ,Entrepreneur,Service holder,arrange Marriage,Single,168000.0
2017.0,21.0,30.0,rich class,Kushtia ,Entrepreneur,Entrepreneur,Forced Marriage,Single,1425000.0
2018.0,18.0,36.0,Lower class,Jhenaidah ,businessman,Entrepreneur,Irrelevant Marriage,Single,174000.0
2017.0,22.0,30.0,rich class,Jhenaidah ,Entrepreneur,Entrepreneur,Forced Marriage,Single,1230000.0
2018.0,20.0,37.0,Lower class,Meherpur ,Service holder,businessman,Irrelevant Marriage,Single,168000.0
2018.0,18.0,40.0,higher Middle class,Meherpur ,Entrepreneur,Service holder,Irrelevant Marriage,Single,660000.0
2017.0,21.0,32.0,higher class,Jhenaidah ,Service holder,businessman,arrange Marriage,Single,732000.0
2017.0,17.0,35.0,Lower class,bagerhat ,businessman,Entrepreneur,Irrelevant Marriage,Single,162000.0
2018.0,21.0,31.0,rich class,Khulna ,Entrepreneur,businessman,arrange Marriage,Single,1410000.0
2018.0,20.0,34.0,Lower Middle class,Meherpur ,Service holder,Service holder,Irrelevant Marriage,Single,360000.0
2017.0,23.0,29.0,higher class,Meherpur ,Service holder,Entrepreneur,arrange Marriage,Single,792000.0
2018.0,21.0,32.0,Lower class,Kushtia ,businessman,businessman,arrange Marriage,Single,162000.0
2017.0,19.0,27.0,rich class,Jashore ,Entrepreneur,Entrepreneur,arrange Marriage,Single,1425000.0
2018.0,23.0,33.0,Proverty Level,Meherpur ,Entrepreneur,businessman,arrange Marriage,Single,120000.0
2017.0,21.0,35.0,higher class,Kushtia ,Entrepreneur,Entrepreneur,Irrelevant Marriage,Single,612000.0
2017.0,24.0,32.0,Lower class,bagerhat ,Entrepreneur,Service holder,arrange Marriage,Single,156000.0
2017.0,20.0,41.0,Lower Middle class,Satkhira ,Entrepreneur,Entrepreneur,Irrelevant Marriage,Single,324000.0
2017.0,18.0,25.0,Lower Middle class,Jashore ,Service holder,businessman,Forced Marriage,Single,396000.0
2017.0,17.0,27.0,rich class,Satkhira ,businessman,Service holder,arrange Marriage,Single,1440000.0
2017.0,21.0,31.0,Lower class,Satkhira ,businessman,Entrepreneur,arrange Marriage,Single,150000.0
2017.0,21.0,31.0,higher Middle class,Narail ,Entrepreneur,Service holder,arrange Marriage,Single,708000.0
2017.0,23.0,35.0,Proverty Level,chuadanga ,businessman,Service holder,Forced Marriage,Single,100000.0
2017.0,25.0,41.0,Lower Middle class,bagerhat ,businessman,businessman,Irrelevant Marriage,Widow,396000.0
2017.0,18.0,35.0,higher Middle class,Jashore ,businessman,businessman,Irrelevant Marriage,Single,672000.0
2018.0,19.0,32.0,Lower Middle class,bagerhat ,businessman,Entrepreneur,Irrelevant Marriage,Single,324000.0
2018.0,19.0,33.0,higher Middle class,bagerhat ,businessman,Service holder,Irrelevant Marriage,Single,672000.0
2018.0,19.0,40.0,higher Middle class,Satkhira ,Service holder,Entrepreneur,Irrelevant Marriage,Single,816000.0
2018.0,22.0,37.0,Proverty Level,Kushtia ,businessman,businessman,Irrelevant Marriage,Single,120000.0
2018.0,23.0,26.0,rich class,Magura ,Entrepreneur,businessman,Love Marriage,Single,1200000.0
2018.0,19.0,39.0,higher class,Meherpur ,Service holder,Entrepreneur,Irrelevant Marriage,Single,684000.0
2017.0,20.0,29.0,Proverty Level,Narail ,Service holder,businessman,arrange Marriage,Single,100000.0
2017.0,21.0,29.0,higher class,Satkhira ,Service holder,Entrepreneur,Forced Marriage,Single,648000.0
2017.0,23.0,38.0,Lower Middle class,Khulna ,Service holder,businessman,Irrelevant Marriage,Single,351000.0
2017.0,21.0,33.0,Lower class,chuadanga ,businessman,Entrepreneur,arrange Marriage,Single,174000.0
2017.0,19.0,33.0,Lower class,chuadanga ,Entrepreneur,Entrepreneur,Irrelevant Marriage,Single,150000.0
2017.0,20.0,37.0,higher class,bagerhat ,Service holder,Entrepreneur,Irrelevant Marriage,Single,696000.0
2018.0,19.0,30.0,Lower class,chuadanga ,businessman,businessman,arrange Marriage,Single,168000.0
2018.0,21.0,28.0,Lower Middle class,Narail ,businessman,Service holder,arrange Marriage,Single,324000.0
2017.0,19.0,31.0,Proverty Level,bagerhat ,businessman,businessman,Forced Marriage,Single,115000.0
2017.0,19.0,26.0,Lower Middle class,chuadanga ,businessman,Service holder,Forced Marriage,Single,378000.0
2018.0,22.0,39.0,higher Middle class,chuadanga ,businessman,Service holder,Irrelevant Marriage,Single,780000.0
2017.0,24.0,30.0,Lower Middle class,Magura ,businessman,businessman,arrange Marriage,Single,351000.0
2018.0,21.0,41.0,Lower Middle class,Magura ,Service holder,businessman,Irrelevant Marriage,Single,333000.0
2017.0,21.0,32.0,higher class,Narail ,Service holder,Entrepreneur,Forced Marriage,Single,672000.0
2017.0,17.0,32.0,higher Middle class,Narail ,businessman,Service holder,Irrelevant Marriage,Single,660000.0
2017.0,19.0,31.0,rich class,Magura ,Entrepreneur,Entrepreneur,Forced Marriage,Single,1290000.0
2017.0,23.0,34.0,Lower Middle class,Satkhira ,Entrepreneur,Entrepreneur,arrange Marriage,Single,342000.0
2017.0,19.0,41.0,Proverty Level,Meherpur ,Entrepreneur,Entrepreneur,Irrelevant Marriage,Single,100000.0
2017.0,25.0,30.0,higher class,Kushtia ,Service holder,Service holder,arrange Marriage,divorced,744000.0
2017.0,22.0,32.0,Proverty Level,Narail ,Entrepreneur,Entrepreneur,arrange Marriage,Single,105000.0
2018.0,20.0,32.0,rich class,Satkhira ,Entrepreneur,Entrepreneur,arrange Marriage,Single,1485000.0
,,,,,,,,,
2016.0,23.0,38.0,Lower Class,Barguna ,Low Service Holder,Day Labour,Irrelevant Marriage,Single,64800.0
2015.0,18.0,27.0,Higher Class,Barishal ,Businessman,Businessman,Arrange Marriage,Single,210000.0
2013.0,25.0,32.0,Rich Class,Barguna ,Businessman,Businessman,Forced Marriage,Divorced,432000.0
2013.0,19.0,33.0,Higher Class,Patuakhali ,Businessman,Businessman,Irrelevant Marriage,Single,289800.0
2016.0,22.0,33.0,Rich Class,Barguna ,Businessman,Service Holder,Arrange Marriage,Single,418500.0
2015.0,19.0,37.0,Lower Middle Class,Barishal ,Lower Service Holder,Farmer,Irrelevant Marriage,Single,133200.0
2017.0,22.0,36.0,Higher Class,Barguna ,Businessman,Businessman,Irrelevant Marriage,Single,285600.0
2014.0,19.0,32.0,Higher Class,Pirojpur ,Businessman,Service Holder,Irrelevant Marriage,Single,289800.0
2013.0,24.0,30.0,Lower Class,Pirojpur ,Businessman,Low Service Holder,Forced Marriage,Single,67200.0
2015.0,17.0,25.0,Higher Middle Class,Barishal ,Businessman,Farmer,Forced Marriage,Single,285600.0
2013.0,23.0,39.0,Rich Class,Barishal ,Businessman,Service Holder,Irrelevant Marriage,Single,373500.0
2015.0,19.0,36.0,Rich Class,Patuakhali ,Businessman,Businessman,Irrelevant Marriage,Single,396000.0
2017.0,19.0,30.0,Lower Middle Class,Barguna ,Lower Worker,Service Holder,Forced Marriage,Single,151700.0
2013.0,23.0,31.0,Lower Middle Class,Jhalokati ,Businessman,Service Holder,Arrange Marriage,Single,136900.0
2016.0,19.0,33.0,Rich Class,Barguna ,Businessman,Businessman,Irrelevant Marriage,Single,369000.0
2014.0,20.0,29.0,Rich Class,Patuakhali ,Businessman,Businessman,Arrange Marriage,Single,360000.0
2014.0,22.0,41.0,Lower Middle Class,Barishal ,Businessman,Businessman,Irrelevant Marriage,Single,140600.0
2017.0,21.0,42.0,Higher Class,Bhola ,Businessman,Service Holder,Irrelevant Marriage,Single,289800.0
2014.0,21.0,28.0,Higher Class,Barishal ,Businessman,Service Holder,Forced Marriage,Single,239400.0
2013.0,16.0,25.0,Higher Middle Class,Bhola ,Lower Service Holder,Businessman,Forced Marriage,Single,256200.0
2014.0,21.0,40.0,Rich Class,Pirojpur ,Businessman,Service Holder,Irrelevant Marriage,Single,391500.0
2016.0,19.0,40.0,Higher Class,Barishal ,Businessman,Businessman,Irrelevant Marriage,Single,226800.0
2015.0,18.0,29.0,Lower Middle Class,Pirojpur ,Businessman,Businessman,Arrange Marriage,Single,133200.0
2017.0,19.0,29.0,Lower Middle Class,Barishal ,Garments Worker,Businessman,Arrange Marriage,Single,140600.0
2014.0,17.0,27.0,Higher Class,Pirojpur ,Lower Service Holder,Service Holder,Forced Marriage,Single,277200.0
2014.0,25.0,32.0,Rich Class,Pirojpur ,Businessman,Service Holder,Arrange Marriage,Divorced,400500.0
2016.0,20.0,33.0,Rich Class,Patuakhali ,Lower Service Holder,Service Holder,Irrelevant Marriage,Single,360000.0
2014.0,22.0,38.0,Rich Class,Barguna ,Low Service Holder,Service Holder,Irrelevant Marriage,Single,418500.0
2016.0,23.0,25.0,Rich Class,Barishal ,Businessman,Businessman,Love Marriage,Single,364500.0
2016.0,23.0,39.0,Higher Class,Patuakhali ,Businessman,Farmer,Irrelevant Marriage,Single,289800.0
2016.0,20.0,30.0,Higher Middle Class,Bhola ,Day Labour,Businessman,Forced Marriage,Single,273000.0
2015.0,16.0,28.0,Rich Class,Patuakhali ,Businessman,Service Holder,Arrange Marriage,Single,414000.0
2014.0,19.0,31.0,Lower Middle Class,Bhola ,Day Labour,Farmer,Arrange Marriage,Single,162800.0
2013.0,18.0,33.0,Rich Class,Bhola ,Businessman,Service Holder,Irrelevant Marriage,Single,427500.0
2014.0,23.0,42.0,Rich Class,Bhola ,Businessman,Service Holder,Irrelevant Marriage,Single,396000.0
